Name,Tags,Area,Link,Connection,Created,Created time,Last edited time,Published,Source,Type
,,,,,,"July 5, 2024 10:09 AM","July 5, 2024 10:09 AM",,,
,,,,,,"July 5, 2024 10:09 AM","July 5, 2024 10:09 AM",,,
,,,,,,"July 5, 2024 10:09 AM","July 5, 2024 10:09 AM",,,
CodeTime,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:09 AM",,,
New Mac Malware Found to Infect via Xcode,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:11 AM",,,
Report: Microsoft’s GitHub Account Gets Hacked,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:09 AM",,,
Official PHP Git server targeted in attempt to bury malware in code base,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:09 AM",,,
Malware Attack on GitHub Repositories a Disturbing Development for Open Source Projects,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:09 AM",,,
[Fin later maybe] UI / UX Design Tutorial – From Zero to Hero with Wireframe + Prototype + Design in Figma,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:12 AM",,,
Can C++ be used as a server-side web development language? [closed],,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:12 AM",,,
Debugging JavaScript - Chrome DevTools 101,,,,,,"July 5, 2024 9:36 AM","July 5, 2024 10:12 AM",,,
Firefox Android Remote Debugging Demo,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Firefox JavaScript Debugger,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Github policy on scraping (most related statement to using inspect element),,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
5 Crazy Hacks Using Inspect Element,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
How To Use Inspect Element,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Marrer Video - Using the Debugger in Thonny,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Python: Debugger,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Import a js file in another,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
[FIN] How to Create an XML Sitemap (and Submit It to Google),,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
free wireframe kit,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Installing Sourcegraph,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Sourcegraph Code search,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Do you trust Github products?,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
StackOverflow - Trusting Code from GitHub,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Github Repository Owners Targeted by Data-Stealing Malware,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Waterfall vs Agile development and security,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Sketch - pricing and student discounts,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Honesty in Pricing - Sketch,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
What is a CDN? | How do CDNs work?,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
[FIN] How to Add CDN to WordPress Website,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Open source CDN,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
MUST USE Websites & Tools for Web Developers,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
How to Use http://schema.org/ to Create and Add Structured Data to Your Website,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
FOAF (ontology),,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
JSON-LD Generator,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Structured Data CodeLab,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Structured Data Code Checker,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Rich result status reports,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Build a Mindblowing 3D Portfolio Website // Three.js Beginner’s Tutorial,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
12 Rea­sons Why Devel­op­ers Should Use Bitbucket,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Bitbucket vs GitHub: Which Code Repository Is Better for Your Development Projects?,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
accidentally overwrote linux,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Top 5 GitHub Alternatives for Hosting your Open Source Projects,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
https://stackoverflow.com/questions/3989837/how-secure-would-github-hosting-be-for-private-repositories,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
[FIN] Bitbucket tutorial | How to use Bitbucket Cloud,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Deploy A Static Website with Docker,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Introducing JSX,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
React Testing Library,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
[FIN] Chakra UI and React-Hook-Form –How to Build Beautiful Forms,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
7 popular premium fonts and their Google alternatives [free],,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Using React + Google Sheets as your CMS,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
ReactDOM,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
React CSS styling,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Using Google Spreadsheets as an API in under 4 minutes!,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
https://stackoverflow.com/questions/47946559/react-send-form-data-to-email,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
[FIN] Using a React form to send information directly to your email,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
SEMrush,,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
"Note: store in resonance, email CodePen people - attach to someday task",,,,,,"July 5, 2024 9:37 AM","July 5, 2024 10:12 AM",,,
Chakra UI,,,,,,"July 5, 2024 9:38 AM","July 5, 2024 10:12 AM",,,
Practices when working in codesandbox,,,,,,"July 5, 2024 9:38 AM","July 5, 2024 10:12 AM",,,
"React Functional Components, Props, and JSX – React.js Tutorial for Beginners",,,,,,"July 5, 2024 9:38 AM","July 5, 2024 10:12 AM",,,
Why Arrow Functions and bind in React’s Render are Problematic,,,,,,"July 5, 2024 9:38 AM","July 5, 2024 10:12 AM",,,
Store in codepen as examples on buttons,,,,,,"July 5, 2024 9:38 AM","July 5, 2024 10:12 AM",,,
Semmle - Code review for security,Potential Resource,,,,,"July 5, 2024 9:38 AM","August 19, 2024 1:42 PM",,,
Semmle privacy policy,"CS Tools: CyberSec: Security Analysis, CyberSecurity, GitHub (VCS Platform), acquisitions, privacy, tools",,,,,"July 5, 2024 9:38 AM","August 19, 2024 11:34 AM",,,
https://stackoverflow.com/questions/44897070/element-type-is-invalid-expected-a-string-for-built-in-components-or-a-class,,,,,,"July 5, 2024 9:38 AM","July 5, 2024 10:12 AM",,,
https://stackoverflow.com/questions/49371289/using-an-array-of-buttons-in-react,,,,,,"July 5, 2024 9:38 AM","July 5, 2024 10:12 AM",,,
Progressive Web Apps in 100 Seconds // Build a PWA from Scratch,"(YouTube) FireShip, (YouTube) Fireship - 100 Seconds, JavaScript package management: npm, Progressive Web Apps (PWAs), Robin, WebDev (web development), must backup for v11, serviceWorker, tools",CS (Computer Science),https://youtu.be/sFsRylCQblw,,"June 28, 2021 12:02 AM (EDT)","July 5, 2024 9:38 AM","July 5, 2024 11:26 AM",,YouTube,Video
Docker in 100 Seconds,"(YouTube) FireShip, (YouTube) Fireship - 100 Seconds, CS Tools: Containerization, Docker (containers) - containerization, Robin",CS (Computer Science),https://youtu.be/Gjnup-PuquQ,,"June 28, 2021 4:20 PM (EDT)","July 5, 2024 9:38 AM","July 5, 2024 11:27 AM",,YouTube,Video
"[FIN] Python Microservices Web App (with React, Django, Flask) - Full Course","(YouTube) FreeCodeCamp, Django - Framework, Flask - Framework, Javascript (JS), Python, Python Frameworks, ReactJS (aka React) [Front-End Framework][JavaScript Framework], WebDev (web development), full-stack (Full Stack) (Fullstack), microservices, tutorials",CS (Computer Science),https://youtu.be/0iB5IPoTDts,,"June 29, 2021 11:25 PM (EDT)","July 5, 2024 9:38 AM","July 5, 2024 11:20 AM",,YouTube,Video
Introduction to Amazon Simple Storage Service (S3) - Cloud Storage on AWS,"CS Tools: Cloud Storage (IaaS), CS Tools: Cloud Storage: AWS S3 (IaaS), CS Tools: Cloud services: Amazon Web Services - (AWS), CS Tools: Infrastructure as a Service (IaaS), CS Tools: Virtual Server (IaaS), Cloud Computing  - Infrastructure as a service (IaaS), Virtual Server: AWS EC2",CS (Computer Science),https://youtu.be/77lMCiiMilo,,"June 30, 2021 12:21 AM (EDT)","July 5, 2024 9:38 AM","July 5, 2024 10:43 AM",,YouTube,Video
RGB to hex color converter,"CS Tools: UX UI design, Potential Resource, Robin, UX UI design, WebDev (web development), tools",CS (Computer Science),https://colordesigner.io/convert/hextorgb,,"July 2, 2021 2:31 PM (EDT)","July 5, 2024 9:38 AM","July 5, 2024 10:32 AM",,,Website
How to get the value of an input field using ReactJS?,"ReactJS (aka React) [Front-End Framework][JavaScript Framework], Robin, strategy",CS (Computer Science),https://stackoverflow.com/questions/36683770/how-to-get-the-value-of-an-input-field-using-reactjs,,"July 2, 2021 2:48 PM (EDT)","July 5, 2024 9:38 AM","July 5, 2024 10:30 AM",,StackOverflow,Forum
https://stackoverflow.com/questions/43605215/using-cdn-vs-installing-library-by-npm,"CS Tools: Content Delivery Network (CDN), JavaScript package management: npm",CS (Computer Science),https://stackoverflow.com/questions/43605215/using-cdn-vs-installing-library-by-npm#43606244,,"July 2, 2021 5:00 PM (EDT)","July 5, 2024 9:38 AM","July 5, 2024 10:21 AM",,StackOverflow,Forum
Codesandbox pricing,"CS Tools: IDEs: CodeSandbox, Potential Resource, tools",CS (Computer Science),https://codesandbox.io/pricing,,"July 5, 2021 1:45 PM (EDT)","July 5, 2024 9:38 AM","July 5, 2024 10:18 AM",,CodeSandbox,Website
GitHub Committing and PRs,"CS Tools: IDEs: CodeSandbox, GitHub (VCS Platform)",CS (Computer Science),https://codesandbox.io/docs/git,,"July 12, 2021 6:30 PM (EDT)","July 5, 2024 9:38 AM","July 5, 2024 10:17 AM",,CodeSandbox,Website
Flexbox examples,,,,,,"July 5, 2024 9:38 AM","August 19, 2024 11:29 AM",,,
,,,,,,"July 5, 2024 10:08 AM","July 5, 2024 10:12 AM",,,